recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Тофу с киноа и авокадо,Киноа,70,368,14,6,64,7,9.8,257.6
Тофу с киноа и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Тофу с киноа и авокадо,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Тофу с киноа и авокадо,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Тофу с киноа и авокадо,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Тофу с киноа и авокадо,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Тофу с киноа и авокадо,Оливковое масло,9,884,0,100,0,0,0.0,79.6
Тофу с киноа и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Тофу с киноа и авокадо,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Тофу с киноа и авокадо,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Тофу с киноа и авокадо,Тофу,195.5,144,17,9,3,2,33.23,281.5
Курица с гречкой и овощами,Гречка,75,343,13,3.4,72,10,9.75,257.2
Курица с гречкой и овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Курица с гречкой и овощами,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Курица с гречкой и овощами,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с гречкой и овощами,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с гречкой и овощами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с гречкой и овощами,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Курица с гречкой и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с гречкой и овощами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с гречкой и овощами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с гречкой и овощами,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с гречкой и овощами,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с гречкой и овощами,Курица,170.0,120,22.5,2.6,0,0,38.25,204.0
Курица с бурым рисом,Рис бурый,75,370,7.9,2.9,77,3.5,5.92,277.5
Курица с бурым рисом,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Курица с бурым рисом,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Курица с бурым рисом,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с бурым рисом,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с бурым рисом,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с бурым рисом,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с бурым рисом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с бурым рисом,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с бурым рисом,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с бурым рисом,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с бурым рисом,Курица,170.0,120,22.5,2.6,0,0,38.25,204.0
Курица с кускусом,Кускус,75,376,12.8,0.6,77,5,9.6,282.0
Курица с кускусом,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Курица с кускусом,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Курица с кускусом,Греческий йогурт 2%,80,73,9,2,4,0,7.2,58.4
Курица с кускусом,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Курица с кускусом,Лимон,16,29,1.1,0.3,9.3,2.8,0.18,4.6
Курица с кускусом,Укроп,6,43,3.5,1.1,7,2.1,0.21,2.6
Курица с кускусом,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с кускусом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с кускусом,Курица,170.0,120,22.5,2.6,0,0,38.25,204.0
Говядина с кускусом,Говядина,160,176,21.4,10.0,0,0,34.24,281.6
Говядина с кускусом,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Говядина с кускусом,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Говядина с кускусом,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Говядина с кускусом,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Говядина с кускусом,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Говядина с кускусом,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Говядина с кускусом,Соль,0.9,0,0,0,0,0,0.0,0.0
Говядина с кускусом,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Говядина с кускусом,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Говядина с кускусом,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Говядина с кускусом,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Говядина с кускусом,Кускус,75.0,376,12.8,0.6,77,5,9.6,282.0
Индейка с гречкой и свёклой,Гречка,75,343,13,3.4,72,10,9.75,257.2
Индейка с гречкой и свёклой,Свёкла,150,43,1.6,0.2,10,2.8,2.4,64.5
Индейка с гречкой и свёклой,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Индейка с гречкой и свёклой,Уксус бальзамический,12,88,0.5,0,17,0,0.06,10.6
Индейка с гречкой и свёклой,Оливковое масло,11,884,0,100,0,0,0.0,97.2
Индейка с гречкой и свёклой,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с гречкой и свёклой,Соль,0.9,0,0,0,0,0,0.0,0.0
Индейка с гречкой и свёклой,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Индейка с гречкой и свёклой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с гречкой и свёклой,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Индейка с гречкой и свёклой,Индейка,160.0,114,23.7,1.5,0,0,37.92,182.4
Свинина с бататом и капустой,Свинина постная,160,143,21.4,5.7,0,0,34.24,228.8
Свинина с бататом и капустой,Капуста,150,25,1.3,0.1,5.8,2.5,1.95,37.5
Свинина с бататом и капустой,Оливковое масло,19,884,0,100,0,0,0.0,168.0
Свинина с бататом и капустой,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Свинина с бататом и капустой,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Свинина с бататом и капустой,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Свинина с бататом и капустой,Соль,0.9,0,0,0,0,0,0.0,0.0
Свинина с бататом и капустой,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Свинина с бататом и капустой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Свинина с бататом и капустой,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Свинина с бататом и капустой,Батат,250.0,86,1.6,0.1,20,3,4.0,215.0
Форель с киноа и авокадо,Киноа,70,368,14,6,64,7,9.8,257.6
Форель с киноа и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Форель с киноа и авокадо,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Форель с киноа и авокадо,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с киноа и авокадо,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с киноа и авокадо,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с киноа и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Форель с киноа и авокадо,Форель,160.0,148,20.5,6.5,0,0,32.8,236.8
Лосось с картофелем и зелёной фасолью,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Лосось с картофелем и зелёной фасолью,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Лосось с картофелем и зелёной фасолью,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Лосось с картофелем и зелёной фасолью,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Лосось с картофелем и зелёной фасолью,Соль,0.8,0,0,0,0,0,0.0,0.0
Лосось с картофелем и зелёной фасолью,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Лосось с картофелем и зелёной фасолью,Зелёная фасоль,180.0,31,1.8,0.2,7,3.4,3.24,55.8
Лосось с картофелем и зелёной фасолью,Лосось свежий,160,208,20,13,0,0,32.0,332.8
Форель с кускусом,Форель,160,148,20.5,6.5,0,0,32.8,236.8
Форель с кускусом,Зелёная фасоль,160,31,1.8,0.2,7,3.4,2.88,49.6
Форель с кускусом,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Форель с кускусом,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с кускусом,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с кускусом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с кускусом,Соль,0.8,0,0,0,0,0,0.0,0.0
Форель с кускусом,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Форель с кускусом,Кускус,75.0,376,12.8,0.6,77,5,9.6,282.0
Треска с булгуромом и овощами,Треска,190,82,18,0.7,0,0,34.2,155.8
Треска с булгуромом и овощами,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Треска с булгуромом и овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Треска с булгуромом и овощами,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Треска с булгуромом и овощами,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Треска с булгуромом и овощами,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Треска с булгуромом и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Треска с булгуромом и овощами,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Треска с булгуромом и овощами,Булгур,71.2,342,12,1.3,76,12.5,8.54,243.5
Лосось с картофелем,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Лосось с картофелем,Капуста,150,25,1.3,0.1,5.8,2.5,1.95,37.5
Лосось с картофелем,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Лосось с картофелем,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Лосось с картофелем,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Лосось с картофелем,Соль,0.8,0,0,0,0,0,0.0,0.0
Лосось с картофелем,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Лосось с картофелем,Лосось свежий,190.0,208,20,13,0,0,38.0,395.2
Креветки с булгуромом и брокколи,Креветки сырые,180,85,20.1,0.5,0.2,0,36.18,153.0
Креветки с булгуромом и брокколи,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Креветки с булгуромом и брокколи,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Креветки с булгуромом и брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Креветки с булгуромом и брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Креветки с булгуромом и брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Креветки с булгуромом и брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Креветки с булгуромом и брокколи,Булгур,71.2,342,12,1.3,76,12.5,8.54,243.5
Скумбрия с бататом,Скумбрия,150,205,19,14,0,0,28.5,307.5
Скумбрия с бататом,Салат,100,15,1.4,0.2,2.9,1.3,1.4,15.0
Скумбрия с бататом,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Скумбрия с бататом,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Скумбрия с бататом,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Скумбрия с бататом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Скумбрия с бататом,Соль,0.8,0,0,0,0,0,0.0,0.0
Скумбрия с бататом,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Скумбрия с бататом,Батат,250.0,86,1.6,0.1,20,3,4.0,215.0
Чечевица с киноа и брокколи,Чечевица готовая,100,116,9.0,0.4,20.1,7.9,9.0,116.0
Чечевица с киноа и брокколи,Киноа,70,368,14,6,64,7,9.8,257.6
Чечевица с киноа и брокколи,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Чечевица с киноа и брокколи,Тахини,33,595,17,54,21,9.3,5.61,196.3
Чечевица с киноа и брокколи,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Чечевица с киноа и брокколи,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Чечевица с киноа и брокколи,Соль,0.7,0,0,0,0,0,0.0,0.0
Чечевица с киноа и брокколи,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Чечевица с киноа и брокколи,Брокколи,100.0,34,2.8,0.4,7,2.6,2.8,34.0
Тофу с гречкой и зелёной фасолью,Тофу,180,144,17,9,3,2,30.6,259.2
Тофу с гречкой и зелёной фасолью,Гречка,75,343,13,3.4,72,10,9.75,257.2
Тофу с гречкой и зелёной фасолью,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Тофу с гречкой и зелёной фасолью,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Тофу с гречкой и зелёной фасолью,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Тофу с гречкой и зелёной фасолью,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Тофу с гречкой и зелёной фасолью,Зелёная фасоль,180.0,31,1.8,0.2,7,3.4,3.24,55.8
Тофу с булгуромом и овощами,Тофу,180,144,17,9,3,2,30.6,259.2
Тофу с булгуромом и овощами,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Тофу с булгуромом и овощами,Морковь,120,41,0.9,0.2,10,2.8,1.08,49.2
Тофу с булгуромом и овощами,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Тофу с булгуромом и овощами,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Тофу с булгуромом и овощами,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Тофу с булгуромом и овощами,Булгур,71.2,342,12,1.3,76,12.5,8.54,243.5
Паста с тофу и шпинатом,Макароны цельнозерновые,80,348,14,2.5,64,8,11.2,278.4
Паста с тофу и шпинатом,Шпинат,100,23,2.9,0.4,3.6,2.2,2.9,23.0
Паста с тофу и шпинатом,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Паста с тофу и шпинатом,Томатная паста,65,82,4.3,0.5,18.9,4.1,2.79,53.3
Паста с тофу и шпинатом,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Паста с тофу и шпинатом,Базилик,8,23,3.2,0.6,2.7,1.6,0.26,1.8
Паста с тофу и шпинатом,Оливковое масло,10,884,0,100,0,0,0.0,88.4
Паста с тофу и шпинатом,Соль,0.8,0,0,0,0,0,0.0,0.0
Паста с тофу и шпинатом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Паста с тофу и шпинатом,Тофу,195.5,144,17,9,3,2,33.23,281.5
Паста с курицей и кабачком,Макароны цельнозерновые,80,348,14,2.5,64,8,11.2,278.4
Паста с курицей и кабачком,Кабачок,180,17,1.2,0.3,3.1,1,2.16,30.6
Паста с курицей и кабачком,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Паста с курицей и кабачком,Томатная паста,65,82,4.3,0.5,18.9,4.1,2.79,53.3
Паста с курицей и кабачком,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Паста с курицей и кабачком,Базилик,8,23,3.2,0.6,2.7,1.6,0.26,1.8
Паста с курицей и кабачком,Оливковое масло,10,884,0,100,0,0,0.0,88.4
Паста с курицей и кабачком,Соль,0.8,0,0,0,0,0,0.0,0.0
Паста с курицей и кабачком,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Паста с курицей и кабачком,Курица,170.0,120,22.5,2.6,0,0,38.25,204.0
Кускус с говядиной и овощами,Говядина,160,176,21.4,10.0,0,0,34.24,281.6
Кускус с говядиной и овощами,Баклажан,180,25,1,0.2,6,3,1.8,45.0
Кускус с говядиной и овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Кускус с говядиной и овощами,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Кускус с говядиной и овощами,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Кускус с говядиной и овощами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Кускус с говядиной и овощами,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Кускус с говядиной и овощами,Соль,0.9,0,0,0,0,0,0.0,0.0
Кускус с говядиной и овощами,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Кускус с говядиной и овощами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Кускус с говядиной и овощами,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Кускус с говядиной и овощами,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Кускус с говядиной и овощами,Кускус,75.0,376,12.8,0.6,77,5,9.6,282.0
Кускус с тофу и овощами,Кускус,75,376,12.8,0.6,77,5,9.6,282.0
Кускус с тофу и овощами,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Кускус с тофу и овощами,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Кускус с тофу и овощами,Греческий йогурт 2%,80,73,9,2,4,0,7.2,58.4
Кускус с тофу и овощами,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Кускус с тофу и овощами,Лимон,16,29,1.1,0.3,9.3,2.8,0.18,4.6
Кускус с тофу и овощами,Укроп,6,43,3.5,1.1,7,2.1,0.21,2.6
Кускус с тофу и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Кускус с тофу и овощами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Кускус с тофу и овощами,Тофу,195.5,144,17,9,3,2,33.23,281.5
Перловка с курицей и овощами,Перловка,70,352,9.9,1.2,78,15.6,6.93,246.4
Перловка с курицей и овощами,Шпинат,80,23,2.9,0.4,3.6,2.2,2.32,18.4
Перловка с курицей и овощами,Кабачок,140,17,1.2,0.3,3.1,1,1.68,23.8
Перловка с курицей и овощами,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Перловка с курицей и овощами,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Перловка с курицей и овощами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Перловка с курицей и овощами,Оливковое масло,9,884,0,100,0,0,0.0,79.6
Перловка с курицей и овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Перловка с курицей и овощами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Перловка с курицей и овощами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Перловка с курицей и овощами,Курица,150.0,120,22.5,2.6,0,0,33.75,180.0
Бататомный боул с тунцом,Огурцы,150,15,0.7,0.1,3.6,0.5,1.05,22.5
Бататомный боул с тунцом,Греческий йогурт 2%,200,73,9,2,4,0,18.0,146.0
Бататомный боул с тунцом,Тунец консервированный в собственном соку,160,116,25.5,0.8,0,0,40.8,185.6
Бататомный боул с тунцом,Лимон,25,29,1.1,0.3,9.3,2.8,0.28,7.2
Бататомный боул с тунцом,Оливковое масло,13,884,0,100,0,0,0.0,114.9
Бататомный боул с тунцом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Бататомный боул с тунцом,Батат,250.0,86,1.6,0.1,20,3,4.0,215.0
Батат с тофу и авокадо,Батат,220,86,1.6,0.1,20,3,3.52,189.2
Батат с тофу и авокадо,Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
Батат с тофу и авокадо,Салат,100,15,1.4,0.2,2.9,1.3,1.4,15.0
Батат с тофу и авокадо,Уксус бальзамический,22,88,0.5,0,17,0,0.11,19.4
Батат с тофу и авокадо,Оливковое масло,12,884,0,100,0,0,0.0,106.1
Батат с тофу и авокадо,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
Батат с тофу и авокадо,Соль,0.8,0,0,0,0,0,0.0,0.0
Батат с тофу и авокадо,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Батат с тофу и авокадо,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Батат с тофу и авокадо,Тофу,195.5,144,17,9,3,2,33.23,281.5
Батат с нутом и брокколи,Батат,220,86,1.6,0.1,20,3,3.52,189.2
Батат с нутом и брокколи,Нут готовый,130,164,8.9,2.6,27.4,7.6,11.57,213.2
Батат с нутом и брокколи,Греческий йогурт 2%,200,73,9,2,4,0,18.0,146.0
Батат с нутом и брокколи,Тахини,33,595,17,54,21,9.3,5.61,196.3
Батат с нутом и брокколи,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Батат с нутом и брокколи,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Батат с нутом и брокколи,Соль,0.7,0,0,0,0,0,0.0,0.0
Батат с нутом и брокколи,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Батат с нутом и брокколи,Брокколи,100.0,34,2.8,0.4,7,2.6,2.8,34.0
Тёплый салат с треской,Картофель,250,77,2,0.1,17,2.2,5.0,192.5
Тёплый салат с треской,Салат,100,15,1.4,0.2,2.9,1.3,1.4,15.0
Тёплый салат с треской,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Тёплый салат с треской,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Тёплый салат с треской,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Тёплый салат с треской,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Тёплый салат с треской,Соль,0.8,0,0,0,0,0,0.0,0.0
Тёплый салат с треской,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Тёплый салат с треской,Треска,160.0,82,18,0.7,0,0,28.8,131.2
Творог с вишней,Творог 5%,120,121,17,5,3,0,20.4,145.2
Творог с вишней,Вишня,60.0,50,1,0.3,12,1.6,0.6,30.0
Йогурт с клубникой и чиа,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Йогурт с клубникой и чиа,Семена чиа,10,486,17,31,42,34,1.7,48.6
Йогурт с клубникой и чиа,Клубника,60.0,32,0.7,0.3,7.7,2,0.42,19.2
Груша с грецким орехом,Груша,150,57,0.4,0.1,15,3.1,0.6,85.5
Груша с грецким орехом,Грецкие орехи,18,654,15,65,14,6.7,2.7,117.7
Тост с творогом и кабачком,Хлеб цельнозерновой,70,252,12.45,3.5,42.71,6,8.71,176.4
Тост с творогом и кабачком,Творог 5%,120,121,17,5,3,0,20.4,145.2
Тост с творогом и кабачком,Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
Тост с творогом и кабачком,Соль,0.6,0,0,0,0,0,0.0,0.0
Тост с творогом и кабачком,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тост с творогом и кабачком,Укроп,2,43,3.5,1.1,7,2.1,0.07,0.9
Тост с творогом и кабачком,Кабачок,90.0,17,1.2,0.3,3.1,1,1.08,15.3
Хумус с огурцом и кабачком,Хумус,36,166,8,10,14,6,2.88,59.8
Хумус с огурцом и кабачком,Огурцы,90,15,0.7,0.1,3.6,0.5,0.63,13.5
Хумус с огурцом и кабачком,Кабачок,90.0,17,1.2,0.3,3.1,1,1.08,15.3
Мини-омлет с брокколи,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Мини-омлет с брокколи,Моцарелла,48,254,24.3,15.9,2.8,0,11.66,121.9
Мини-омлет с брокколи,Брокколи,60.0,34,2.8,0.4,7,2.6,1.68,20.4
Смузи клубникой-йогурт,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Смузи клубникой-йогурт,Банан,72,89,1.1,0.3,23,2.6,0.79,64.1
Смузи клубникой-йогурт,Клубника,60.0,32,0.7,0.3,7.7,2,0.42,19.2
Ореховый перекус с грушейм,Грецкие орехи,12,654,15,65,14,6.7,1.8,78.5
Ореховый перекус с грушейм,Груша,90.0,57,0.4,0.1,15,3.1,0.36,51.3
Индейка с овощами на сковороде,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Индейка с овощами на сковороде,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Индейка с овощами на сковороде,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Индейка с овощами на сковороде,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с овощами на сковороде,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Индейка с овощами на сковороде,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Индейка с овощами на сковороде,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Индейка с овощами на сковороде,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с овощами на сковороде,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с овощами на сковороде,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с овощами на сковороде,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Индейка с овощами на сковороде,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Индейка с овощами на сковороде,Индейка,153.0,114,23.7,1.5,0,0,36.26,174.4
Тофу с цветной капустой,Цветная капуста,162,25,1.9,0.3,5,2,3.08,40.5
Тофу с цветной капустой,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Тофу с цветной капустой,Оливковое масло,19,884,0,100,0,0,0.0,168.0
Тофу с цветной капустой,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Тофу с цветной капустой,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Тофу с цветной капустой,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Тофу с цветной капустой,Соль,0.8,0,0,0,0,0,0.0,0.0
Тофу с цветной капустой,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Тофу с цветной капустой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Тофу с цветной капустой,Тофу,175.9,144,17,9,3,2,29.9,253.3
Курица с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Курица с брокколи,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Курица с брокколи,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Курица с брокколи,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с брокколи,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с брокколи,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с брокколи,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с брокколи,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с брокколи,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с брокколи,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с брокколи,Курица,153.0,120,22.5,2.6,0,0,34.42,183.6
Курица с бататом,Батат,198,86,1.6,0.1,20,3,3.17,170.3
Курица с бататом,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Курица с бататом,Уксус бальзамический,22,88,0.5,0,17,0,0.11,19.4
Курица с бататом,Оливковое масло,12,884,0,100,0,0,0.0,106.1
Курица с бататом,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
Курица с бататом,Соль,0.8,0,0,0,0,0,0.0,0.0
